Conference,Team,Win_Conf_%,Avg_Points,Avg_Rank,P_Top4_%
Atlantic Hockey,Bentley,35.75,35.3217,2.7791,82.82000000000001
Atlantic Hockey,Sacred Heart,16.24,31.6963,3.8626,66.2
Atlantic Hockey,Air Force,11.16,29.8251,4.4896,54.81
Atlantic Hockey,Army,10.61,29.2683,4.6726,51.51
Atlantic Hockey,RIT,9.98,29.2252,4.6799,51.629999999999995
Atlantic Hockey,Canisius,7.2700000000000005,27.8717,5.1596,43.07
Atlantic Hockey,Holy Cross,6.43,27.3121,5.331,40.21
Atlantic Hockey,Robert Morris,2.03,23.2559,6.6734,20.04
Atlantic Hockey,Niagara,0.53,19.407,7.8107,8.63
Atlantic Hockey,Mercyhurst,0.0,11.2507,9.5415,0.43
Big Ten,Michigan State,54.97,27.3208,1.7256,98.94
Big Ten,Michigan,25.4,24.1009,2.4008,95.78
Big Ten,Penn State,14.56,22.2009,2.8691,91.24
Big Ten,Wisconsin,4.42,18.4875,3.7883,74.98
Big Ten,Ohio State,0.44,12.9813,5.1847,27.36
Big Ten,Minnesota,0.18,11.1944,5.6078,17.2
Big Ten,Notre Dame,0.03,7.4116,6.4237,4.19
CCHA,St. Thomas,26.08,31.7938,2.8851,82.91
CCHA,Minnesota State,22.3,30.9428,3.1251,78.84
CCHA,Augustana,21.02,30.7612,3.1599,78.63
CCHA,Bowling Green,14.530000000000001,29.1978,3.6105,69.47
CCHA,Michigan Tech,14.06,29.3032,3.5828,70.64
CCHA,Bemidji State,1.26,21.2031,5.8507,19.99
CCHA,Lake Superior,0.73,19.3282,6.3003,13.11
CCHA,Ferris State,0.02,11.9013,7.8855,0.9900000000000001
CCHA,Northern Michigan,0.0,7.567,8.6001,0.09
ECAC,Quinnipiac,43.63,49.8753,2.1495,93.60000000000001
ECAC,Dartmouth,20.75,45.9353,3.0366,82.83
ECAC,Cornell,17.150000000000002,45.0464,3.2541,79.09
ECAC,Union,14.08,43.9408,3.5255,74.07000000000001
ECAC,Princeton,2.3,36.4532,5.46,32.71
ECAC,Harvard,1.2,34.393,5.9919,24.490000000000002
ECAC,Clarkson,0.7799999999999999,32.9563,6.3848,18.48
ECAC,Colgate,0.1,27.0407,7.9195,4.66
ECAC,Yale,0.01,20.1397,9.6442,0.89
ECAC,Brown,0.0,16.365,10.5155,0.16
ECAC,RPI,0.0,21.1818,9.394,0.75
ECAC,St. Lawrence,0.0,15.4422,10.7244,0.04
Hockey East,Providence,38.43,40.638,2.5432,87.15
Hockey East,Boston College,26.76,38.5603,3.0975,79.89
Hockey East,Connecticut,15.49,35.7038,3.9191,67.12
Hockey East,Maine,6.140000000000001,31.5846,5.2579,44.73
Hockey East,Massachusetts,4.67,30.1659,5.7187,38.09
Hockey East,Northeastern,2.96,28.3579,6.337,27.639999999999997
Hockey East,Boston University,2.67,28.4341,6.3032,28.67
Hockey East,Merrimack,1.5699999999999998,26.4227,6.9888,20.14
Hockey East,New Hampshire,1.08,25.3221,7.3473,16.55
Hockey East,Mass.-Lowell,0.19,20.6603,8.8215,5.16
Hockey East,Vermont,0.04,17.3062,9.6658,2.08
NCHC,North Dakota,40.48,33.3354,2.2523,92.96
NCHC,Western Michigan,28.54,31.7002,2.6577,88.24
NCHC,Minnesota-Duluth,15.73,29.0168,3.3542,77.88000000000001
NCHC,Denver,11.5,27.5593,3.7596,70.59
NCHC,St. Cloud State,1.82,21.0818,5.6942,29.87
NCHC,Colorado College,0.96,19.2276,6.242,20.34
NCHC,Miami,0.6,18.2537,6.544,16.919999999999998
NCHC,Arizona State,0.27999999999999997,16.5026,7.0378,10.17
NCHC,Omaha,0.09,14.9601,7.4582,7.23
