Team,xGa+,MIN,GSAx_60
Air Force,-4.57,1931.0,-0.14199896426721909
Alaska,3.5399999999999996,1722.0,0.12334494773519163
Alaska-Anchorage,-18.76,1739.0,-0.6472685451408856
Arizona State,1.84,2042.0,0.054064642507345745
Army,19.36,1949.0,0.5959979476654694
Augustana,30.4,2054.0,0.8880233690360273
Bemidji State,-12.58,1924.0,-0.3923076923076923
Bentley,4.24,1941.0,0.13106646058732613
Boston College,6.23,1784.0,0.2095291479820628
Boston University,-5.93,1867.0,-0.19057311194429563
Bowling Green,11.19,1951.0,0.3441312147616607
Brown,-0.13999999999999968,1670.0,-0.005029940119760467
Canisius,3.38,1909.0,0.10623363017286537
Clarkson,-12.96,1913.0,-0.4064819654992159
Colgate,-2.2199999999999998,1919.0,-0.06941115164147993
Colorado College,6.4399999999999995,1936.0,0.19958677685950413
Connecticut,22.060000000000002,1810.0,0.7312707182320443
Cornell,5.34,1608.0,0.19925373134328356
Dartmouth,-0.19999999999999973,1681.0,-0.0071386079714455585
Denver,16.21,1995.0,0.48751879699248124
Ferris State,-28.79,1899.0,-0.9096366508688782
Harvard,0.22999999999999998,1669.0,0.008268424206111444
Holy Cross,-8.71,1928.0,-0.2710580912863071
Lake Superior,2.9399999999999995,1913.0,0.09221118661787767
Lindenwood,-3.250000000000001,1677.0,-0.1162790697674419
Long Island,-9.77,1803.0,-0.3251247920133111
Maine,-8.22,1869.0,-0.26388443017656504
Mass.-Lowell,-7.82,1898.0,-0.24720758693361436
Massachusetts,20.310000000000002,1795.0,0.6788857938718663
Mercyhurst,-7.6000000000000005,1912.0,-0.23849372384937242
Merrimack,9.98,1847.0,0.324201407688143
Miami,2.6799999999999997,1923.0,0.08361934477379095
Michigan,16.0,1927.0,0.49818370524130773
Michigan State,21.740000000000002,1804.0,0.7230598669623061
Michigan Tech,6.629999999999999,2049.0,0.19414348462664713
Minnesota,-9.62,1861.0,-0.3101558301988178
Minnesota State,13.69,1940.0,0.4234020618556701
Minnesota-Duluth,-1.39,1925.0,-0.04332467532467532
New Hampshire,-3.42,1788.0,-0.11476510067114093
Niagara,-8.0,1919.0,-0.2501302761855133
North Dakota,-0.13999999999999968,1920.0,-0.00437499999999999
Northeastern,23.65,1861.0,0.7624932831810854
Northern Michigan,9.469999999999999,1899.0,0.29921011058451813
Notre Dame,-18.759999999999998,1920.0,-0.5862499999999999
Ohio State,-23.43,1801.0,-0.7805663520266518
Omaha,0.22000000000000008,1904.0,0.0069327731092437
Penn State,15.77,1806.0,0.5239202657807308
Princeton,-7.42,1682.0,-0.2646848989298454
Providence,10.54,1860.0,0.33999999999999997
Quinnipiac,1.16,2054.0,0.033885102239532616
RIT,4.04,1920.0,0.12625
RPI,-8.51,1906.0,-0.26789087093389297
Robert Morris,4.87,1920.0,0.1521875
Sacred Heart,14.09,1927.0,0.4387130254281266
St. Cloud State,-5.8999999999999995,2022.0,-0.1750741839762611
St. Lawrence,-18.419999999999998,1901.0,-0.581378221988427
St. Thomas,-7.920000000000001,1928.0,-0.24647302904564317
Stonehill,-15.87,1925.0,-0.4946493506493506
Union,-2.13,1926.0,-0.06635514018691589
Vermont,-15.870000000000001,1843.0,-0.5166576234400434
Western Michigan,6.5,1922.0,0.20291363163371487
Wisconsin,-12.3,1920.0,-0.384375
Yale,-12.97,1663.0,-0.4679494888755262
